TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,Season,Team
1610612766,2018,00,Willy Hernangomez,Willy,willy-hernangomez,41,C,6-11,240,"MAY 27, 1994",25.0,2,Cajasol Sevilla,1626195,,2018-19,Charlotte Hornets
1610612766,2018,00,Frank Kaminsky,Frank,frank-kaminsky,44,F-C,7-0,242,"APR 04, 1993",26.0,3,Wisconsin,1626163,,2018-19,Charlotte Hornets
1610612766,2018,00,J.P. Macura,J.P.,jp-macura,55,G,6-5,205,"JUN 05, 1995",24.0,R,Xavier,1629122,,2018-19,Charlotte Hornets
1610612737,2019,00,Jeff Teague,Jeff,jeff-teague,00,G,6-3,195,"JUN 10, 1988",32.0,10,Wake Forest,201952,,2019-20,Atlanta Hawks
1610612737,2019,00,Brandon Goodwin,Brandon,brandon-goodwin,0,G,6-0,180,"OCT 02, 1995",24.0,1,Florida Gulf Coast,1629164,,2019-20,Atlanta Hawks
1610612737,2019,00,Treveon Graham,Treveon,treveon-graham,2,G-F,6-5,219,"OCT 28, 1993",26.0,3,Virginia Commonwealth,1626203,,2019-20,Atlanta Hawks
1610612737,2019,00,Kevin Huerter,Kevin,kevin-huerter,3,G-F,6-7,190,"AUG 27, 1998",21.0,1,Maryland,1628989,,2019-20,Atlanta Hawks
1610612737,2019,00,Charlie Brown Jr.,Charlie,charlie-brown-jr,4,G,6-6,199,"FEB 02, 1997",23.0,R,St. Joseph's (PA),1629718,,2019-20,Atlanta Hawks
1610612737,2019,00,Skal Labissiere,Skal,skal-labissiere,7,F-C,6-10,235,"MAR 18, 1996",24.0,3,Kentucky,1627746,,2019-20,Atlanta Hawks
1610612737,2019,00,Trae Young,Trae,trae-young,11,G,6-1,180,"SEP 19, 1998",21.0,1,Oklahoma,1629027,Draft Rights Traded from DAL on 06/21/18,2019-20,Atlanta Hawks
1610612737,2019,00,De'Andre Hunter,De'Andre,deandre-hunter,12,F-G,6-7,225,"DEC 02, 1997",22.0,R,Virginia,1629631,Draft Rights Traded from NOP on 07/07/19,2019-20,Atlanta Hawks
1610612737,2019,00,Dewayne Dedmon,Dewayne,dewayne-dedmon,14,C,7-0,245,"AUG 12, 1989",30.0,6,Southern California,203473,,2019-20,Atlanta Hawks
1610612737,2019,00,Clint Capela,Clint,clint-capela,15,C,6-10,240,"MAY 18, 1994",26.0,5,Elan Chalon,203991,Traded from HOU on 02/05/20,2019-20,Atlanta Hawks
1610612737,2019,00,Vince Carter,Vince,vince-carter,15,G-F,6-6,220,"JAN 26, 1977",43.0,21,North Carolina,1713,,2019-20,Atlanta Hawks
1610612737,2019,00,John Collins,John,john-collins,20,F,6-9,235,"SEP 23, 1997",22.0,2,Wake Forest,1628381,,2019-20,Atlanta Hawks
1610612737,2019,00,Cam Reddish,Cam,cam-reddish,22,F-G,6-8,218,"SEP 01, 1999",20.0,R,Duke,1629629,,2019-20,Atlanta Hawks
1610612737,2019,00,Bruno Fernando,Bruno,bruno-fernando,24,F-C,6-9,240,"AUG 15, 1998",21.0,R,Maryland,1628981,Traded from HOU on 02/09/23,2019-20,Atlanta Hawks
1610612737,2019,00,Damian Jones,Damian,damian-jones,30,C,6-11,245,"JUN 30, 1995",25.0,3,Vanderbilt,1627745,,2019-20,Atlanta Hawks
1610612737,2019,00,DeAndre' Bembry,DeAndre',deandre-bembry,95,G-F,6-5,210,"JUL 04, 1994",25.0,3,St. Joseph's (PA),1627761,,2019-20,Atlanta Hawks
1610612738,2019,00,Jayson Tatum,Jayson,jayson-tatum,0,F-G,6-8,210,"MAR 03, 1998",22.0,2,Duke,1628369,#3 Pick in 2017 Draft,2019-20,Boston Celtics
1610612738,2019,00,Carsen Edwards,Carsen,carsen-edwards,4,G,5-11,200,"MAR 12, 1998",22.0,R,Purdue,1629035,,2019-20,Boston Celtics
1610612738,2019,00,Jaylen Brown,Jaylen,jaylen-brown,7,G-F,6-6,223,"OCT 24, 1996",23.0,3,California,1627759,#3 Pick in 2016 Draft,2019-20,Boston Celtics
1610612738,2019,00,Kemba Walker,Kemba,kemba-walker,8,G,6-0,184,"MAY 08, 1990",30.0,8,Connecticut,202689,,2019-20,Boston Celtics
1610612738,2019,00,Brad Wanamaker,Brad,brad-wanamaker,9,G,6-3,210,"JUL 25, 1989",30.0,1,Pittsburgh,202954,,2019-20,Boston Celtics
1610612738,2019,00,Enes Freedom,Enes,enes-freedom,11,C,6-10,250,"MAY 20, 1992",28.0,8,Fenerbahce,202683,,2019-20,Boston Celtics
1610612738,2019,00,Grant Williams,Grant,grant-williams,12,F,6-6,236,"NOV 30, 1998",21.0,R,Tennessee,1629684,,2019-20,Boston Celtics
1610612738,2019,00,Gordon Hayward,Gordon,gordon-hayward,20,F,6-7,225,"MAR 23, 1990",30.0,9,Butler,202330,,2019-20,Boston Celtics
1610612738,2019,00,Daniel Theis,Daniel,daniel-theis,27,F-C,6-8,245,"APR 04, 1992",28.0,2,Brose Bamberg,1628464,,2019-20,Boston Celtics
1610612738,2019,00,Marcus Smart,Marcus,marcus-smart,36,G,6-3,220,"MAR 06, 1994",26.0,5,Oklahoma State,203935,,2019-20,Boston Celtics
1610612738,2019,00,Semi Ojeleye,Semi,semi-ojeleye,37,F,6-6,240,"DEC 05, 1994",25.0,2,Southern Methodist,1628400,,2019-20,Boston Celtics
1610612738,2019,00,Javonte Green,Javonte,javonte-green,43,G-F,6-4,205,"JUL 23, 1993",26.0,R,Radford,1629750,,2019-20,Boston Celtics
1610612738,2019,00,Robert Williams III,Robert,robert-williams-iii,44,C-F,6-8,237,"OCT 17, 1997",22.0,1,Texas A&M,1629057,,2019-20,Boston Celtics
1610612738,2019,00,Romeo Langford,Romeo,romeo-langford,45,G-F,6-4,216,"OCT 25, 1999",20.0,R,Indiana,1629641,,2019-20,Boston Celtics
1610612738,2019,00,Tremont Waters,Tremont,tremont-waters,51,G,5-10,175,"JAN 10, 1998",22.0,R,Louisiana State,1629682,,2019-20,Boston Celtics
1610612738,2019,00,Vincent Poirier,Vincent,vincent-poirier,77,C-F,7-0,235,"OCT 17, 1993",26.0,R,Baskonia,1629738,,2019-20,Boston Celtics
1610612738,2019,00,Tacko Fall,Tacko,tacko-fall,99,C,7-5,311,"DEC 10, 1995",24.0,R,UCF,1629605,,2019-20,Boston Celtics
1610612739,2019,00,Kevin Love,Kevin,kevin-love,0,F-C,6-8,251,"SEP 07, 1988",31.0,11,UCLA,201567,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Dante Exum,Dante,dante-exum,1,G,6-5,214,"JUL 13, 1995",24.0,4,Australian Institute of Sport,203957,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Collin Sexton,Collin,collin-sexton,2,G,6-1,190,"JAN 04, 1999",21.0,1,Alabama,1629012,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Andre Drummond,Andre,andre-drummond,3,C,6-10,279,"AUG 10, 1993",26.0,7,Connecticut,203083,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Kevin Porter Jr.,Kevin,kevin-porter-jr,4,G-F,6-4,203,"MAY 04, 2000",20.0,R,USC,1629645,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Jordan Bell,Jordan,jordan-bell,5,F,6-8,216,"JAN 07, 1995",25.0,2,Oregon,1628395,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Dylan Windler,Dylan,dylan-windler,9,G-F,6-6,196,"SEP 22, 1996",23.0,R,Belmont,1629685,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Darius Garland,Darius,darius-garland,10,G,6-1,192,"JAN 26, 2000",20.0,R,Vanderbilt,1629636,#5 Pick in 2019 Draft,2019-20,Cleveland Cavaliers
1610612739,2019,00,Tristan Thompson,Tristan,tristan-thompson,13,C-F,6-9,254,"MAR 13, 1991",29.0,8,Texas-Austin,202684,Signed on 09/12/23,2019-20,Cleveland Cavaliers
1610612739,2019,00,Cedi Osman,Cedi,cedi-osman,16,F,6-7,230,"APR 08, 1995",25.0,2,Anadolu Efes,1626224,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Matthew Dellavedova,Matthew,matthew-dellavedova,18,G,6-3,200,"SEP 08, 1990",29.0,6,Saint Mary's,203521,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Larry Nance Jr.,Larry,larry-nance-jr,22,F-C,6-7,245,"JAN 01, 1993",27.0,4,Wyoming,1626204,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Alfonzo McKinnie,Alfonzo,alfonzo-mckinnie,28,F,6-7,215,"SEP 17, 1992",27.0,2,Wisc.-Green Bay,1628035,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Matt Mooney,Matt,matt-mooney,31,G,6-2,199,"FEB 07, 1995",25.0,R,Texas Tech,1629760,,2019-20,Cleveland Cavaliers
1610612739,2019,00,Dean Wade,Dean,dean-wade,32,F-C,6-9,228,"NOV 20, 1996",23.0,R,Kansas State,1629731,Signed on 07/01/19,2019-20,Cleveland Cavaliers
1610612739,2019,00,Ante Zizic,Ante,ante-zizic,41,C,6-10,266,"JAN 04, 1997",23.0,2,Darussafaka,1627790,,2019-20,Cleveland Cavaliers
1610612740,2019,00,Nickeil Alexander-Walker,Nickeil,nickeil-alexander-walker,0,G,6-5,205,"SEP 02, 1998",21.0,R,Virginia Tech,1629638,,2019-20,New Orleans Pelicans
1610612740,2019,00,Zion Williamson,Zion,zion-williamson,1,F,6-6,284,"JUL 06, 2000",19.0,R,Duke,1629627,#1 Pick in 2019 Draft,2019-20,New Orleans Pelicans
1610612740,2019,00,Lonzo Ball,Lonzo,lonzo-ball,2,G,6-6,190,"OCT 27, 1997",22.0,2,UCLA,1628366,,2019-20,New Orleans Pelicans
1610612740,2019,00,Josh Hart,Josh,josh-hart,3,G,6-5,215,"MAR 06, 1995",25.0,2,Villanova,1628404,,2019-20,New Orleans Pelicans
1610612740,2019,00,JJ Redick,JJ,jj-redick,4,G,6-3,200,"JUN 24, 1984",36.0,13,Duke,200755,,2019-20,New Orleans Pelicans
1610612740,2019,00,Josh Gray,Josh,josh-gray,5,G,6-0,180,"SEP 09, 1993",26.0,1,Louisiana State,1627982,,2019-20,New Orleans Pelicans
1610612740,2019,00,Jahlil Okafor,Jahlil,jahlil-okafor,9,C-F,6-10,270,"DEC 15, 1995",24.0,4,Duke,1626143,,2019-20,New Orleans Pelicans
1610612740,2019,00,Jaxson Hayes,Jaxson,jaxson-hayes,10,C-F,6-11,220,"MAY 23, 2000",20.0,R,Texas,1629637,,2019-20,New Orleans Pelicans
1610612740,2019,00,Jrue Holiday,Jrue,jrue-holiday,11,G,6-3,205,"JUN 12, 1990",30.0,10,UCLA,201950,,2019-20,New Orleans Pelicans
1610612740,2019,00,Sindarius Thornwell,Sindarius,sindarius-thornwell,12,G,6-4,215,"NOV 15, 1994",25.0,2,South Carolina,1628414,,2019-20,New Orleans Pelicans
1610612740,2019,00,Brandon Ingram,Brandon,brandon-ingram,14,F,6-7,190,"SEP 02, 1997",22.0,3,Duke,1627742,Traded from LAL on 07/06/19,2019-20,New Orleans Pelicans
1610612740,2019,00,Frank Jackson,Frank,frank-jackson,15,G,6-3,205,"MAY 04, 1998",22.0,1,Duke,1628402,,2019-20,New Orleans Pelicans
1610612740,2019,00,Nicolo Melli,Nicolo,nicolo-melli,20,F,6-9,236,"JAN 26, 1991",29.0,R,Fenerbahce,1629740,,2019-20,New Orleans Pelicans
1610612740,2019,00,Darius Miller,Darius,darius-miller,21,F,6-6,225,"MAR 21, 1990",30.0,5,Kentucky,203121,,2019-20,New Orleans Pelicans
1610612740,2019,00,Derrick Favors,Derrick,derrick-favors,22,F,6-9,265,"JUL 15, 1991",28.0,9,Georgia Tech,202324,,2019-20,New Orleans Pelicans
1610612740,2019,00,Kenrich Williams,Kenrich,kenrich-williams,34,G-F,6-6,210,"DEC 02, 1994",25.0,1,TCU,1629026,,2019-20,New Orleans Pelicans
1610612740,2019,00,Zylan Cheatham,Zylan,zylan-cheatham,45,F,6-5,220,"NOV 17, 1995",24.0,R,Arizona State,1629597,,2019-20,New Orleans Pelicans
1610612740,2019,00,E'Twaun Moore,E'Twaun,etwaun-moore,55,G,6-3,191,"FEB 25, 1989",31.0,8,Purdue,202734,,2019-20,New Orleans Pelicans
1610612741,2019,00,Coby White,Coby,coby-white,0,G,6-4,195,"FEB 16, 2000",20.0,R,North Carolina,1629632,#7 Pick in 2019 Draft,2019-20,Chicago Bulls
1610612741,2019,00,Luke Kornet,Luke,luke-kornet,2,F-C,7-2,250,"JUL 15, 1995",24.0,2,Vanderbilt,1628436,,2019-20,Chicago Bulls
1610612741,2019,00,Shaquille Harrison,Shaquille,shaquille-harrison,3,G,6-7,190,"OCT 06, 1993",26.0,2,Tulsa,1627885,,2019-20,Chicago Bulls
1610612741,2019,00,Cristiano Felicio,Cristiano,cristiano-felicio,6,F-C,6-10,270,"JUL 07, 1992",27.0,4,Flamengo,1626245,,2019-20,Chicago Bulls
1610612741,2019,00,Zach LaVine,Zach,zach-lavine,8,G-F,6-6,200,"MAR 10, 1995",25.0,5,UCLA,203897,Traded from MIN on 06/22/17,2019-20,Chicago Bulls
1610612741,2019,00,Daniel Gafford,Daniel,daniel-gafford,12,F-C,6-10,234,"OCT 01, 1998",21.0,R,Arkansas,1629655,,2019-20,Chicago Bulls
1610612741,2019,00,Chandler Hutchison,Chandler,chandler-hutchison,15,F-G,6-7,210,"APR 26, 1996",24.0,1,Boise State,1628990,,2019-20,Chicago Bulls
1610612741,2019,00,Adam Mokoka,Adam,adam-mokoka,20,G,6-5,190,"JUL 18, 1998",21.0,R,Mega Basket,1629690,,2019-20,Chicago Bulls
1610612741,2019,00,Thaddeus Young,Thaddeus,thaddeus-young,21,F,6-8,235,"JUN 21, 1988",32.0,12,Georgia Tech,201152,,2019-20,Chicago Bulls
1610612741,2019,00,Otto Porter Jr.,Otto,otto-porter-jr,22,F,6-8,198,"JUN 03, 1993",27.0,6,Georgetown,203490,,2019-20,Chicago Bulls
1610612741,2019,00,Lauri Markkanen,Lauri,lauri-markkanen,24,F-C,7-0,240,"MAY 22, 1997",23.0,2,Arizona,1628374,,2019-20,Chicago Bulls
1610612741,2019,00,Max Strus,Max,max-strus,28,G-F,6-5,215,"MAR 28, 1996",24.0,R,DePaul,1629622,,2019-20,Chicago Bulls
1610612741,2019,00,Tomas Satoransky,Tomas,tomas-satoransky,31,G,6-7,210,"OCT 30, 1991",28.0,3,FC Barcelona,203107,,2019-20,Chicago Bulls
1610612741,2019,00,Kris Dunn,Kris,kris-dunn,32,G,6-3,205,"MAR 18, 1994",26.0,3,Providence,1627739,,2019-20,Chicago Bulls
1610612741,2019,00,Wendell Carter Jr.,Wendell,wendell-carter-jr,34,C-F,6-9,270,"APR 16, 1999",21.0,1,Duke,1628976,,2019-20,Chicago Bulls
1610612741,2019,00,Denzel Valentine,Denzel,denzel-valentine,45,G,6-4,220,"NOV 16, 1993",26.0,2,Michigan State,1627756,,2019-20,Chicago Bulls
1610612741,2019,00,Ryan Arcidiacono,Ryan,ryan-arcidiacono,51,G,6-3,195,"MAR 26, 1994",26.0,2,Villanova,1627853,,2019-20,Chicago Bulls
1610612742,2019,00,Courtney Lee,Courtney,courtney-lee,1,G,6-5,215,"OCT 03, 1985",34.0,11,Western Kentucky,201584,,2019-20,Dallas Mavericks
1610612742,2019,00,Antonius Cleveland,Antonius,antonius-cleveland,3,G,6-5,195,"FEB 02, 1994",26.0,1,S.E. Missouri,1628499,,2019-20,Dallas Mavericks
1610612742,2019,00,J.J. Barea,J.J.,jj-barea,5,G,5-10,180,"JUN 26, 1984",36.0,13,Northeastern,200826,,2019-20,Dallas Mavericks
1610612742,2019,00,Kristaps Porzingis,Kristaps,kristaps-porzingis,6,F-C,7-3,240,"AUG 02, 1995",24.0,3,Cajasol Sevilla,204001,,2019-20,Dallas Mavericks
1610612742,2019,00,Dwight Powell,Dwight,dwight-powell,7,F-C,6-10,240,"JUL 20, 1991",28.0,5,Stanford,203939,Traded from BOS on 12/18/14,2019-20,Dallas Mavericks
1610612742,2019,00,Michael Kidd-Gilchrist,Michael,michael-kidd-gilchrist,9,F,6-6,232,"SEP 26, 1993",26.0,7,Kentucky,203077,,2019-20,Dallas Mavericks
1610612742,2019,00,Dorian Finney-Smith,Dorian,dorian-finney-smith,10,F,6-7,220,"MAY 04, 1993",27.0,3,Florida,1627827,,2019-20,Dallas Mavericks
1610612742,2019,00,Tim Hardaway Jr.,Tim,tim-hardaway-jr,11,G-F,6-5,205,"MAR 16, 1992",28.0,6,Michigan,203501,Traded from NYK on 01/31/19,2019-20,Dallas Mavericks
1610612742,2019,00,Jalen Brunson,Jalen,jalen-brunson,13,G,6-1,190,"AUG 31, 1996",23.0,1,Villanova,1628973,,2019-20,Dallas Mavericks
1610612742,2019,00,Josh Reaves,Josh,josh-reaves,23,G-F,6-4,214,"JUN 04, 1997",23.0,R,Penn State,1629729,,2019-20,Dallas Mavericks
1610612742,2019,00,Seth Curry,Seth,seth-curry,30,G,6-2,185,"AUG 23, 1990",29.0,5,Duke,203552,Signed on 07/14/23,2019-20,Dallas Mavericks
1610612742,2019,00,Trey Burke,Trey,trey-burke,32,G,6-0,185,"NOV 12, 1992",27.0,6,Michigan,203504,,2019-20,Dallas Mavericks
1610612742,2019,00,Willie Cauley-Stein,Willie,willie-cauley-stein,33,C,7-0,240,"AUG 18, 1993",26.0,4,Kentucky,1626161,,2019-20,Dallas Mavericks
1610612742,2019,00,Maxi Kleber,Maxi,maxi-kleber,42,F,6-10,240,"JAN 29, 1992",28.0,2,Bayern Munich,1628467,Signed on 07/12/17,2019-20,Dallas Mavericks
1610612742,2019,00,Justin Jackson,Justin,justin-jackson,44,F,6-7,220,"MAR 28, 1995",25.0,2,North Carolina,1628382,,2019-20,Dallas Mavericks
1610612742,2019,00,Boban Marjanovic,Boban,boban-marjanovic,51,C,7-4,290,"AUG 15, 1988",31.0,4,Crvena zvezda,1626246,,2019-20,Dallas Mavericks
1610612742,2019,00,Delon Wright,Delon,delon-wright,55,G,6-5,185,"APR 26, 1992",28.0,4,Utah,1626153,,2019-20,Dallas Mavericks
1610612742,2019,00,Luka Doncic,Luka,luka-doncic,77,F-G,6-7,230,"FEB 28, 1999",21.0,1,Real Madrid,1629029,Draft Rights Traded from ATL on 06/21/18,2019-20,Dallas Mavericks
1610612743,2019,00,Michael Porter Jr.,Michael,michael-porter-jr,1,F,6-10,218,"JUN 29, 1998",22.0,R,Missouri,1629008,#14 Pick in 2018 Draft,2019-20,Denver Nuggets
1610612743,2019,00,Torrey Craig,Torrey,torrey-craig,3,F,6-7,221,"DEC 19, 1990",29.0,2,South Carolina Upstate,1628470,,2019-20,Denver Nuggets
1610612743,2019,00,Paul Millsap,Paul,paul-millsap,4,F,6-7,257,"FEB 10, 1985",35.0,13,Louisiana Tech,200794,,2019-20,Denver Nuggets
1610612743,2019,00,Will Barton,Will,will-barton,5,G,6-5,181,"JAN 06, 1991",29.0,7,Memphis,203115,,2019-20,Denver Nuggets
1610612743,2019,00,Keita Bates-Diop,Keita,keita-bates-diop,6,F,6-8,229,"JAN 23, 1996",24.0,1,Ohio State,1628966,,2019-20,Denver Nuggets
1610612743,2019,00,Mason Plumlee,Mason,mason-plumlee,7,F-C,6-11,254,"MAR 05, 1990",30.0,6,Duke,203486,,2019-20,Denver Nuggets
1610612743,2019,00,Jerami Grant,Jerami,jerami-grant,9,F,6-8,210,"MAR 12, 1994",26.0,5,Syracuse,203924,,2019-20,Denver Nuggets
1610612743,2019,00,Bol Bol,Bol,bol-bol,10,C-F,7-2,220,"NOV 16, 1999",20.0,R,Oregon,1629626,,2019-20,Denver Nuggets
1610612743,2019,00,Monte Morris,Monte,monte-morris,11,G,6-2,183,"JUN 27, 1995",25.0,2,Iowa State,1628420,,2019-20,Denver Nuggets
1610612743,2019,00,Gary Harris,Gary,gary-harris,14,G,6-4,210,"SEP 14, 1994",25.0,5,Michigan State,203914,,2019-20,Denver Nuggets
1610612743,2019,00,Nikola Jokic,Nikola,nikola-jokic,15,C,7-0,284,"FEB 19, 1995",25.0,4,Mega Basket,203999,#41 Pick in 2014 Draft,2019-20,Denver Nuggets
1610612743,2019,00,Tyler Cook,Tyler,tyler-cook,25,F,6-8,255,"SEP 23, 1997",22.0,R,Iowa,1629076,,2019-20,Denver Nuggets
1610612743,2019,00,Jamal Murray,Jamal,jamal-murray,27,G,6-4,215,"FEB 23, 1997",23.0,3,Kentucky,1627750,#7 Pick in 2016 Draft,2019-20,Denver Nuggets
1610612743,2019,00,Troy Daniels,Troy,troy-daniels,30,G,6-4,200,"JUL 15, 1991",28.0,6,Virginia Commonwealth,203584,,2019-20,Denver Nuggets
1610612743,2019,00,Vlatko Cancar,Vlatko,vlatko-cancar,31,F,6-8,236,"APR 10, 1997",23.0,R,San Pablo Burgos,1628427,#49 Pick in 2017 Draft,2019-20,Denver Nuggets
1610612743,2019,00,Noah Vonleh,Noah,noah-vonleh,32,F,6-10,257,"AUG 24, 1995",24.0,5,Indiana,203943,,2019-20,Denver Nuggets
1610612743,2019,00,PJ Dozier,PJ,pj-dozier,35,G-F,6-6,205,"OCT 25, 1996",23.0,2,South Carolina,1628408,,2019-20,Denver Nuggets
1610612744,2019,00,Damion Lee,Damion,damion-lee,1,G-F,6-5,210,"OCT 21, 1992",27.0,2,Drexel,1627814,,2019-20,Golden State Warriors
1610612744,2019,00,Jordan Poole,Jordan,jordan-poole,3,G,6-4,194,"JUN 19, 1999",21.0,R,Michigan,1629673,,2019-20,Golden State Warriors
1610612744,2019,00,Kevon Looney,Kevon,kevon-looney,5,F,6-9,222,"FEB 06, 1996",24.0,4,UCLA,1626172,#30 Pick in 2015 Draft,2019-20,Golden State Warriors
1610612744,2019,00,Alen Smailagic,Alen,alen-smailagic,6,F,6-10,215,"AUG 18, 2000",19.0,R,Beko,1629346,,2019-20,Golden State Warriors
1610612744,2019,00,Eric Paschall,Eric,eric-paschall,7,F,6-6,255,"NOV 04, 1996",23.0,R,Villanova,1629672,,2019-20,Golden State Warriors
1610612744,2019,00,Klay Thompson,Klay,klay-thompson,11,G,6-6,215,"FEB 08, 1990",30.0,8,Washington State,202691,#11 Pick in 2011 Draft,2019-20,Golden State Warriors
1610612744,2019,00,Mychal Mulder,Mychal,mychal-mulder,12,G,6-3,184,"JUN 12, 1994",26.0,R,Kentucky,1628539,,2019-20,Golden State Warriors
1610612744,2019,00,Ky Bowman,Ky,ky-bowman,12,G,6-1,187,"JUN 16, 1997",23.0,R,Boston College,1629065,,2019-20,Golden State Warriors
1610612744,2019,00,Andrew Wiggins,Andrew,andrew-wiggins,22,F,6-7,197,"FEB 23, 1995",25.0,5,Kansas,203952,Traded from MIN on 02/06/20,2019-20,Golden State Warriors
1610612744,2019,00,Draymond Green,Draymond,draymond-green,23,F,6-6,230,"MAR 04, 1990",30.0,7,Michigan State,203110,#35 Pick in 2012 Draft,2019-20,Golden State Warriors
1610612744,2019,00,Stephen Curry,Stephen,stephen-curry,30,G,6-3,185,"MAR 14, 1988",32.0,10,Davidson,201939,#7 Pick in 2009 Draft,2019-20,Golden State Warriors
1610612744,2019,00,Marquese Chriss,Marquese,marquese-chriss,32,F,6-9,240,"JUL 02, 1997",22.0,3,Washington,1627737,,2019-20,Golden State Warriors
1610612744,2019,00,Juan Toscano-Anderson,Juan,juan-toscano-anderson,95,F,6-6,209,"APR 10, 1993",27.0,R,Marquette,1629308,,2019-20,Golden State Warriors
1610612745,2019,00,Russell Westbrook,Russell,russell-westbrook,0,G,6-3,200,"NOV 12, 1988",31.0,11,UCLA,201566,,2019-20,Houston Rockets
1610612745,2019,00,David Nwaba,David,david-nwaba,0,G-F,6-5,219,"JAN 14, 1993",27.0,3,Cal Poly-Obispo,1628021,,2019-20,Houston Rockets
1610612745,2019,00,Chris Clemons,Chris,chris-clemons,3,G,5-9,180,"JUL 23, 1997",22.0,R,Campbell,1629598,,2019-20,Houston Rockets
1610612745,2019,00,Danuel House Jr.,Danuel,danuel-house-jr,4,F-G,6-6,220,"JUN 07, 1993",27.0,3,Texas A&M,1627863,,2019-20,Houston Rockets
1610612745,2019,00,Bruno Caboclo,Bruno,bruno-caboclo,5,F,6-9,218,"SEP 21, 1995",24.0,5,Pinheiros,203998,,2019-20,Houston Rockets
1610612745,2019,00,DeMarre Carroll,DeMarre,demarre-carroll,9,F,6-6,215,"JUL 27, 1986",33.0,10,Missouri,201960,,2019-20,Houston Rockets
1610612745,2019,00,Eric Gordon,Eric,eric-gordon,10,G,6-3,215,"DEC 25, 1988",31.0,11,Indiana,201569,,2019-20,Houston Rockets
1610612745,2019,00,Luc Mbah a Moute,Luc,luc-mbah-a-moute,12,F,6-8,230,"SEP 09, 1986",33.0,11,UCLA,201601,,2019-20,Houston Rockets
1610612745,2019,00,James Harden,James,james-harden,13,G,6-5,220,"AUG 26, 1989",30.0,10,Arizona State,201935,,2019-20,Houston Rockets
1610612745,2019,00,Ben McLemore,Ben,ben-mclemore,16,G,6-3,195,"FEB 11, 1993",27.0,6,Kansas,203463,,2019-20,Houston Rockets
1610612745,2019,00,P.J. Tucker,P.J.,pj-tucker,17,F,6-5,245,"MAY 05, 1985",35.0,8,Texas,200782,,2019-20,Houston Rockets
1610612745,2019,00,Thabo Sefolosha,Thabo,thabo-sefolosha,18,F-G,6-6,215,"MAY 02, 1984",36.0,13,Angelico Biella,200757,,2019-20,Houston Rockets
1610612745,2019,00,Tyson Chandler,Tyson,tyson-chandler,19,C,7-0,235,"OCT 02, 1982",37.0,18,Dominguez HS (CA),2199,,2019-20,Houston Rockets
1610612745,2019,00,Michael Frazier II,Michael,michael-frazier-ii,21,G,6-3,200,"MAR 08, 1994",26.0,R,Florida,1626187,,2019-20,Houston Rockets
1610612745,2019,00,Austin Rivers,Austin,austin-rivers,25,G,6-3,200,"AUG 01, 1992",27.0,7,Duke,203085,,2019-20,Houston Rockets
1610612745,2019,00,Jeff Green,Jeff,jeff-green,32,F,6-8,235,"AUG 28, 1986",33.0,11,Georgetown,201145,Signed on 07/06/23,2019-20,Houston Rockets
1610612745,2019,00,Robert Covington,Robert,robert-covington,33,F,6-7,209,"DEC 14, 1990",29.0,6,Tennessee State,203496,,2019-20,Houston Rockets
1610612745,2019,00,William Howard,William,william-howard,52,F-G,6-8,207,"OCT 25, 1993",26.0,R,Limoges,1629739,,2019-20,Houston Rockets
1610612746,2019,00,Reggie Jackson,Reggie,reggie-jackson,1,G,6-3,208,"APR 16, 1990",30.0,8,Boston College,202704,,2019-20,Los Angeles Clippers
1610612746,2019,00,Kawhi Leonard,Kawhi,kawhi-leonard,2,F,6-7,225,"JUN 29, 1991",29.0,8,San Diego State,202695,Signed on 07/09/19,2019-20,Los Angeles Clippers
1610612746,2019,00,JaMychal Green,JaMychal,jamychal-green,4,F-C,6-8,227,"JUN 21, 1990",30.0,5,Alabama,203210,,2019-20,Los Angeles Clippers
1610612746,2019,00,Montrezl Harrell,Montrezl,montrezl-harrell,5,F-C,6-7,240,"JAN 26, 1994",26.0,4,Louisville,1626149,,2019-20,Los Angeles Clippers
1610612746,2019,00,Amir Coffey,Amir,amir-coffey,7,G-F,6-7,210,"JUN 17, 1997",23.0,R,Minnesota,1629599,Signed on 07/09/19,2019-20,Los Angeles Clippers
1610612746,2019,00,Paul George,Paul,paul-george,13,F,6-8,220,"MAY 02, 1990",30.0,9,Fresno State,202331,Traded from OKC on 07/10/19,2019-20,Los Angeles Clippers
1610612746,2019,00,Terance Mann,Terance,terance-mann,14,G-F,6-5,215,"OCT 18, 1996",23.0,R,Florida State,1629611,#48 Pick in 2019 Draft,2019-20,Los Angeles Clippers
